Date,LinearRegr,Lasso,Ridge,DecisionTree,RandomTree,XGBRegr,LinearSVR,SVR_poly,SVR_rbf,KNNRegr,y_test
2021-08-31,152.76,152.75,152.74,151.85,151.23,151.39,151.93,151.36,141.84,151.3,152.17
2021-09-01,153.18,153.18,153.17,151.85,151.35,151.41,152.28,151.54,141.54,151.38,152.53
2021-09-02,153.25,153.25,153.24,151.85,151.5,151.41,152.36,151.66,141.53,151.38,152.83
2021-09-03,153.0,153.0,152.99,151.85,151.23,151.39,152.17,151.55,141.22,151.3,152.74
2021-09-06,154.08,154.08,154.07,151.85,151.5,151.55,153.19,152.57,139.4,150.2,153.75
2021-09-07,153.11,153.11,153.1,151.85,151.23,151.15,152.38,152.06,140.96,151.24,153.52
2021-09-08,152.58,152.58,152.57,151.85,151.12,150.38,151.9,151.53,137.34,150.05,152.57
2021-09-09,154.16,154.16,154.15,151.85,151.5,151.57,153.31,152.83,140.45,150.92,153.29
2021-09-10,153.56,153.56,153.55,151.85,151.23,151.62,152.81,152.49,141.09,151.3,153.22
2021-09-13,153.17,153.17,153.16,151.85,151.13,150.91,152.48,152.21,139.34,150.66,152.65
2021-09-14,153.95,153.94,153.94,151.85,151.49,151.67,153.17,152.86,141.26,151.44,152.88
2021-09-15,153.21,153.2,153.2,151.85,151.13,150.86,152.52,152.29,138.98,150.52,152.25
2021-09-16,154.37,154.37,154.36,151.85,151.5,151.75,153.56,153.21,140.54,151.28,152.89
2021-09-17,153.99,153.98,153.97,151.85,151.43,151.61,153.24,153.03,141.2,151.4,153.03
2021-09-20,150.75,150.75,150.75,151.85,151.12,150.24,150.45,149.82,123.78,144.87,149.59
2021-09-21,154.49,154.49,154.48,151.85,151.5,151.58,153.73,153.52,140.2,151.15,150.35
2021-09-22,154.97,154.97,154.96,151.85,151.5,151.61,154.13,153.7,137.53,149.88,151.6
2021-09-23,154.78,154.78,154.77,151.85,151.5,151.6,153.96,153.61,139.09,150.49,152.58
2021-09-24,152.73,152.73,152.72,151.85,151.12,150.65,152.17,152.07,134.74,147.84,151.27
2021-09-27,152.61,152.61,152.6,151.85,151.12,150.69,152.11,152.14,134.43,147.84,149.91
2021-09-28,151.7,151.7,151.69,151.85,151.05,150.17,151.48,151.97,129.4,147.3,147.79
2021-09-29,153.8,153.8,153.79,151.85,151.39,151.29,153.42,154.31,141.92,151.33,148.16
2021-09-30,154.0,153.99,153.98,151.85,151.38,151.63,153.63,154.6,141.22,151.3,148.82
2021-10-01,152.88,152.87,152.87,151.85,151.06,151.36,152.73,154.14,140.8,151.08,148.4
2021-10-04,152.3,152.3,152.29,151.85,151.05,150.61,152.33,154.12,138.49,149.77,147.56
2021-10-05,153.82,153.82,153.81,151.85,151.39,151.46,153.7,155.35,139.9,150.82,148.5
2021-10-06,152.12,152.12,152.11,151.85,151.03,150.95,152.29,154.48,139.09,150.65,147.77
2021-10-07,154.04,154.04,154.03,151.85,151.39,151.65,153.98,155.72,136.44,149.58,149.22
2021-10-08,152.3,152.3,152.29,151.85,151.13,151.34,152.49,154.79,141.08,150.95,148.9
2021-10-11,151.9,151.9,151.89,151.85,151.04,150.98,152.16,154.57,139.81,150.8,148.3
2021-10-12,153.14,153.14,153.13,151.85,151.38,151.53,153.24,155.38,140.23,150.71,149.17
2021-10-13,153.79,153.79,153.78,151.85,151.38,151.41,153.79,155.55,135.14,148.83,150.82
2021-10-14,153.52,153.52,153.51,151.85,151.38,151.59,153.53,155.38,137.34,149.58,152.2
2021-10-15,152.85,152.85,152.84,151.85,151.38,151.69,152.95,155.07,141.44,150.94,152.84
2021-10-18,152.66,152.66,152.65,151.85,151.39,151.69,152.77,154.89,142.04,150.97,153.28
2021-10-19,152.48,152.48,152.47,151.85,151.37,151.65,152.61,154.78,142.27,151.17,153.52
2021-10-20,152.5,152.5,152.49,151.85,151.37,151.58,152.67,154.95,142.12,151.17,153.76
2021-10-21,152.85,152.85,152.84,151.85,151.37,151.62,153.01,155.33,141.29,150.95,154.37
2021-10-22,152.61,152.61,152.6,151.85,151.36,151.52,152.86,155.42,141.64,151.09,154.68
2021-10-25,152.55,152.54,152.53,151.85,151.31,151.57,152.89,155.69,141.31,151.05,154.87
2021-10-26,152.78,152.78,152.77,151.85,151.36,151.61,153.18,156.19,140.66,150.91,155.28
2021-10-27,152.46,152.46,152.45,151.85,151.25,151.53,153.0,156.35,140.17,151.02,155.25
2021-10-28,153.42,153.42,153.41,151.85,151.36,151.57,153.96,157.43,137.56,150.71,156.24
2021-10-29,152.1,152.1,152.09,151.85,151.0,151.04,152.89,156.9,137.39,150.79,155.66
2021-11-02,153.28,153.28,153.27,151.85,151.35,151.77,154.03,158.18,137.79,150.92,156.22
2021-11-03,153.79,153.79,153.78,151.85,151.35,151.6,154.62,159.09,135.63,150.11,157.16
2021-11-04,154.39,154.39,154.38,151.85,151.35,151.47,155.36,160.26,132.09,149.13,158.62
2021-11-05,152.2,152.2,152.19,151.85,151.0,150.56,153.57,159.26,131.21,146.84,157.41
2021-11-08,153.64,153.64,153.63,151.85,151.34,151.54,154.95,160.86,133.76,150.29,157.67
2021-11-09,153.15,153.15,153.14,151.85,151.0,150.86,154.61,160.85,132.24,149.27,157.11
2021-11-10,153.0,153.0,152.99,151.85,150.99,150.52,154.46,160.71,130.64,147.62,156.02
2021-11-12,154.61,154.61,154.6,151.85,151.36,151.55,155.85,161.94,133.36,150.87,156.43
2021-11-15,153.84,153.84,153.83,151.85,151.01,150.81,155.14,161.33,131.97,149.79,155.65
2021-11-16,155.08,155.07,155.06,151.85,151.4,151.52,156.17,162.1,133.97,151.1,155.95
2021-11-17,154.81,154.81,154.8,151.85,151.05,151.24,155.83,161.53,134.01,151.0,155.55
2021-11-18,155.07,155.07,155.06,151.85,151.06,151.31,155.95,161.35,134.47,151.0,155.12
2021-11-19,155.98,155.98,155.97,151.85,151.38,151.72,156.59,161.34,136.12,151.2,155.33
2021-11-22,154.31,154.31,154.3,151.85,151.05,150.39,155.02,159.54,128.66,147.3,153.4
2021-11-23,154.76,154.76,154.75,151.85,151.05,150.3,155.29,159.39,130.61,147.57,151.82
2021-11-24,156.21,156.21,156.2,151.85,151.15,150.92,156.39,159.76,137.31,151.24,151.65
2021-11-25,157.11,157.1,157.1,151.85,151.42,151.77,157.02,159.64,137.38,151.35,152.27
2021-11-26,154.2,154.2,154.19,151.85,151.05,150.39,154.55,157.61,126.01,147.3,149.72
2021-11-29,157.15,157.14,157.13,151.85,151.42,151.53,157.18,160.22,136.42,151.35,150.55
2021-11-30,156.93,156.93,156.92,151.85,151.42,151.48,157.05,160.3,136.81,151.39,151.24
2021-12-01,156.92,156.91,156.91,151.85,151.42,151.43,157.06,160.4,136.61,151.35,151.98
2021-12-02,154.67,154.67,154.66,151.85,151.05,150.3,155.18,159.15,130.59,147.57,150.39
